k,Messages,UpperBound,Time,Success
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,159900,1
2,9,11,99400,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,54000,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,69200,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,55900,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,72800,1
2,9,11,0,1
2,9,11,0,1
2,9,11,59500,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,92800,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,66400,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,519100,1
2,9,11,0,1
2,11,11,0,1
2,11,11,69200,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,68200,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,54100,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,55200,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,93000,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,171500,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,718300,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,178100,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,324100,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,203400,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,513400,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,63700,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,181400,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,179200,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,176600,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,179600,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,181400,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,385000,1
2,9,11,0,1
2,9,11,73600,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,62400,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,56600,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,181600,1
2,9,11,0,1
2,11,11,176000,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,183600,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,359700,1
2,11,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,9,11,0,1
2,9,11,0,1
2,11,11,0,1
2,11,11,0,1
2,9,11,0,1
2,11,11,0,1
3,30,31,0,1
3,23,31,0,1
3,29,31,0,1
3,27,31,0,1
3,27,31,0,1
3,29,31,0,1
3,27,31,0,1
3,27,31,0,1
3,23,31,0,1
3,25,31,0,1
3,25,31,0,1
3,27,31,0,1
3,23,31,0,1
3,27,31,247800,1
3,27,31,0,1
3,27,31,0,1
3,25,31,0,1
3,27,31,0,1
3,25,31,0,1
3,27,31,0,1
3,23,31,0,1
3,25,31,0,1
3,31,31,0,1
3,27,31,0,1
3,30,31,0,1
3,23,31,0,1
3,25,31,0,1
3,27,31,0,1
3,27,31,0,1
3,27,31,0,1
3,29,31,0,1
3,27,31,0,1
3,27,31,0,1
3,25,31,0,1
3,23,31,0,1
3,30,31,0,1
3,25,31,0,1
3,23,31,0,1
3,27,31,0,1
3,27,31,0,1
3,27,31,0,1
3,23,31,0,1
3,25,31,0,1
3,25,31,0,1
3,25,31,0,1
3,21,31,0,1
3,21,31,0,1
3,27,31,0,1
3,27,31,0,1
3,27,31,0,1
3,27,31,0,1
3,31,31,0,1
3,31,31,0,1
3,29,31,0,1
3,21,31,0,1
3,23,31,0,1
3,27,31,0,1
3,25,31,0,1
3,23,31,0,1
3,27,31,0,1
3,27,31,0,1
3,23,31,0,1
3,23,31,0,1
3,23,31,0,1
3,21,31,0,1
3,23,31,0,1
3,25,31,0,1
3,25,31,0,1
3,27,31,0,1
3,27,31,573700,1
3,23,31,0,1
3,26,31,0,1
3,23,31,0,1
3,23,31,0,1
3,23,31,156600,1
3,25,31,0,1
3,25,31,0,1
3,25,31,0,1
3,25,31,0,1
3,27,31,0,1
3,23,31,186300,1
3,29,31,0,1
3,23,31,196400,1
3,21,31,0,1
3,25,31,0,1
3,25,31,0,1
3,23,31,0,1
3,23,31,0,1
3,25,31,0,1
3,21,31,0,1
3,24,31,0,1
3,29,31,0,1
3,31,31,0,1
3,31,31,0,1
3,25,31,221800,1
3,27,31,0,1
3,27,31,0,1
3,23,31,0,1
3,23,31,230200,1
3,25,31,0,1
3,21,31,0,1
3,27,31,0,1
3,25,31,0,1
3,27,31,0,1
3,27,31,324400,1
3,30,31,0,1
3,27,31,0,1
3,25,31,0,1
3,25,31,0,1
3,23,31,0,1
3,25,31,0,1
3,25,31,0,1
3,27,31,0,1
3,23,31,0,1
3,25,31,0,1
3,25,31,0,1
3,23,31,0,1
3,23,31,0,1
3,25,31,0,1
3,27,31,0,1
3,25,31,0,1
3,27,31,0,1
3,27,31,0,1
3,23,31,0,1
3,27,31,0,1
3,27,31,0,1
3,31,31,0,1
3,25,31,0,1
3,21,31,0,1
3,27,31,0,1
3,21,31,0,1
3,23,31,0,1
3,23,31,173800,1
3,27,31,0,1
3,23,31,0,1
3,23,31,0,1
3,23,31,0,1
3,25,31,0,1
3,27,31,230300,1
3,25,31,0,1
3,25,31,0,1
3,31,31,0,1
3,27,31,0,1
3,21,31,0,1
3,21,31,0,1
3,23,31,0,1
3,27,31,0,1
3,25,31,0,1
3,23,31,0,1
3,27,31,0,1
3,31,31,0,1
3,27,31,0,1
3,23,31,0,1
3,23,31,0,1
3,21,31,0,1
3,25,31,0,1
3,25,31,231400,1
3,29,31,0,1
3,27,31,0,1
3,29,31,0,1
3,23,31,0,1
3,23,31,0,1
3,25,31,0,1
3,27,31,0,1
3,27,31,0,1
3,25,31,0,1
3,23,31,0,1
3,27,31,0,1
3,23,31,0,1
3,26,31,0,1
3,27,31,0,1
3,21,31,0,1
3,27,31,0,1
3,23,31,0,1
3,29,31,186200,1
3,25,31,0,1
3,27,31,0,1
3,25,31,0,1
3,27,31,0,1
3,25,31,0,1
3,23,31,156800,1
3,23,31,0,1
3,27,31,0,1
3,25,31,0,1
3,25,31,0,1
3,31,31,0,1
3,25,31,0,1
3,25,31,0,1
3,27,31,0,1
3,29,31,0,1
3,25,31,0,1
3,25,31,0,1
3,27,31,0,1
3,23,31,0,1
3,23,31,0,1
3,29,31,0,1
3,25,31,0,1
3,27,31,0,1
3,21,31,0,1
3,23,31,0,1
3,23,31,0,1
3,27,31,0,1
3,25,31,0,1
3,25,31,0,1
3,25,31,0,1
3,23,31,0,1
3,25,31,250000,1
3,25,31,0,1
3,25,31,0,1
3,25,31,0,1
3,23,31,0,1
3,23,31,0,1
3,27,31,0,1
3,27,31,0,1
3,25,31,0,1
3,27,31,0,1
3,23,31,0,1
3,21,31,0,1
3,23,31,0,1
3,23,31,0,1
3,25,31,0,1
3,23,31,0,1
3,23,31,0,1
3,31,31,0,1
3,25,31,0,1
3,31,31,0,1
3,27,31,0,1
3,23,31,0,1
3,25,31,0,1
3,25,31,0,1
3,25,31,0,1
3,27,31,0,1
3,29,31,0,1
3,23,31,0,1
3,23,31,0,1
3,25,31,0,1
3,27,31,0,1
3,27,31,0,1
3,23,31,0,1
3,25,31,0,1
3,27,31,0,1
3,21,31,0,1
3,25,31,0,1
3,23,31,0,1
3,21,31,0,1
3,23,31,0,1
3,31,31,0,1
3,25,31,0,1
3,23,31,0,1
3,25,31,0,1
3,27,31,0,1
3,25,31,0,1
3,27,31,177100,1
3,27,31,0,1
3,24,31,0,1
3,27,31,0,1
3,29,31,0,1
3,29,31,0,1
3,21,31,0,1
3,25,31,0,1
3,25,31,0,1
3,21,31,0,1
3,23,31,228700,1
3,23,31,0,1
3,25,31,0,1
3,21,31,0,1
3,25,31,255900,1
3,25,31,0,1
3,27,31,0,1
3,21,31,0,1
3,25,31,0,1
3,27,31,0,1
3,21,31,0,1
3,23,31,0,1
3,27,31,0,1
3,25,31,0,1
3,29,31,0,1
3,27,31,0,1
3,26,31,228400,1
3,27,31,0,1
3,21,31,0,1
3,25,31,0,1
3,23,31,0,1
3,27,31,0,1
3,21,31,0,1
3,25,31,0,1
3,23,31,0,1
3,29,31,0,1
3,21,31,0,1
3,27,31,0,1
3,27,31,0,1
3,27,31,0,1
3,27,31,0,1
3,25,31,0,1
3,25,31,0,1
3,25,31,0,1
3,27,31,0,1
3,27,31,0,1
3,27,31,0,1
3,25,31,0,1
3,25,31,0,1
3,31,31,0,1
3,31,31,0,1
3,25,31,0,1
3,23,31,229400,1
3,23,31,0,1
3,25,31,0,1
3,23,31,0,1
3,23,31,226100,1
3,23,31,0,1
3,31,31,212700,1
3,23,31,0,1
3,23,31,0,1
3,27,31,0,1
3,27,31,0,1
3,26,31,0,1
3,31,31,0,1
3,27,31,0,1
3,26,31,0,1
3,26,31,0,1
3,27,31,0,1
3,25,31,0,1
3,27,31,0,1
3,25,31,0,1
3,23,31,0,1
3,23,31,0,1
3,27,31,0,1
3,26,31,0,1
3,25,31,0,1
3,27,31,0,1
3,23,31,0,1
3,27,31,0,1
3,25,31,0,1
3,27,31,0,1
3,27,31,0,1
3,25,31,0,1
3,23,31,0,1
3,23,31,0,1
3,24,31,0,1
3,27,31,0,1
3,25,31,0,1
3,27,31,0,1
3,23,31,0,1
3,25,31,0,1
3,25,31,0,1
3,27,31,0,1
3,27,31,0,1
3,27,31,0,1
3,25,31,0,1
3,30,31,0,1
3,25,31,0,1
3,27,31,0,1
3,23,31,0,1
3,25,31,0,1
3,25,31,0,1
3,27,31,0,1
3,23,31,0,1
3,27,31,0,1
3,25,31,0,1
3,27,31,0,1
3,26,31,0,1
3,27,31,0,1
3,29,31,0,1
3,29,31,0,1
3,25,31,0,1
3,23,31,0,1
3,21,31,0,1
3,25,31,0,1
3,23,31,0,1
3,27,31,0,1
3,29,31,0,1
3,23,31,0,1
3,27,31,0,1
3,31,31,0,1
3,27,31,0,1
3,23,31,0,1
3,29,31,0,1
3,24,31,0,1
3,23,31,0,1
3,21,31,0,1
3,25,31,602600,1
3,25,31,0,1
3,25,31,0,1
3,23,31,0,1
3,23,31,0,1
3,27,31,0,1
3,23,31,233500,1
3,23,31,0,1
3,21,31,0,1
